Analysis;DatasetID;no_indicators_and_Gain_Imputer_and_No_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_No_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_No_Feature_Selection;no_indicators_and_PPCA_Imputation_and_No_Feature_Selection;no_indicators_and_Soft_Imputation_and_No_Feature_Selection;no_indicators_and_No_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_No_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_No_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_No_Feature_Selection;Indicator_Variables_and_No_Feature_Selection;ppca;softimp;missforest;Gain_Imputer;meanmode;fs;aggressivefs;interpretable;noindicators;best;nofs;indicators;no_indicators_and_Gain_Imputer_and_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_Feature_Selection;no_indicators_and_Soft_Imputation_and_Feature_Selection;no_indicators_and_PPCA_Imputation_and_Feature_Selection;no_indicators_and_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_Feature_Selection;Indicator_Variables_and_Feature_Selection
MCAR_25_segment_outcome;61;19;18;18;19;19;18;37;37;35;38;38;37;35;38;37;38;18;10;5;5;18;37;37;37;2;15;9;2;0;7;2;16;2;1;11;11
MCAR_25_churn_outcome;129;20;20;20;20;20;20;40;40;21;40;40;40;1;3;9;40;40;11;9;8;8;9;40;9;2;13;9;2;1;8;3;13;3;2;9;10
MCAR_25_boston_outcome;83;13;13;13;13;13;13;26;26;17;26;26;26;13;13;13;13;13;7;4;13;13;13;13;26;0;7;5;0;1;7;4;7;4;1;4;7
MCAR_50_boston_outcome;84;13;13;13;13;13;13;26;26;26;26;26;26;13;26;2;13;8;3;3;2;13;3;13;3;3;8;3;3;3;3;3;8;3;2;3;3
MCAR_25_Australian_outcome;119;14;14;14;14;14;14;28;28;25;28;28;28;1;28;5;28;28;5;5;5;14;28;28;28;1;11;5;1;0;5;2;10;2;1;5;5
MCAR_50_Australian_outcome;120;14;14;14;14;14;14;28;28;28;28;28;28;1;28;6;28;14;9;9;9;14;14;14;28;0;9;7;0;0;9;0;9;0;1;5;9
MCAR_50_churn_outcome;160;20;20;20;20;20;20;40;40;40;40;40;40;20;3;8;20;40;8;8;8;8;40;40;40;2;11;8;2;2;8;3;11;3;1;8;7
MCAR_50_segment_outcome;161;19;18;18;19;19;18;37;37;38;38;37;37;38;37;18;38;18;8;6;6;18;18;18;7;0;17;6;0;0;17;1;25;0;0;6;7
MCAR_10_compas-two-years_outcome;90;13;13;13;13;13;13;26;26;13;26;26;26;13;1;26;1;13;10;5;26;13;26;26;26;1;7;9;1;0;9;1;7;1;0;9;8
MCAR_25_compas-two-years_outcome;91;13;13;13;13;13;13;26;26;16;26;26;26;13;26;13;26;26;10;6;13;13;13;13;9;2;10;9;2;0;9;0;10;0;1;8;10
MCAR_50_compas-two-years_outcome;92;13;13;13;13;13;13;26;26;26;26;26;26;26;1;8;1;12;9;6;9;12;9;26;6;0;12;4;0;1;12;1;13;1;0;9;6
MCAR_10_image_outcome;58;135;?;135;135;135;135;270;?;135;270;270;270;135;270;?;270;135;25;22;24;135;135;135;270;25;24;?;25;25;25;25;24;25;24;?;24
MCAR_25_image_outcome;68;135;?;135;135;135;135;270;?;270;270;270;270;270;135;?;135;270;25;25;25;135;270;270;270;25;23;?;25;25;25;25;23;25;24;?;24
MCAR_50_image_outcome;69;135;?;135;135;135;135;270;?;270;270;270;270;135;270;?;270;135;25;25;135;135;135;135;270;25;8;?;25;25;25;25;8;25;21;?;21
MCAR_10_stock_outcome;182;9;9;9;9;9;9;18;18;9;18;18;18;3;9;9;9;8;5;4;5;9;9;9;5;9;8;5;9;2;8;9;8;9;3;5;5
MCAR_10_page-blocks_outcome;183;10;10;10;10;10;10;20;20;12;20;20;20;12;20;20;20;20;9;5;9;10;20;20;20;2;9;10;2;2;10;2;13;2;1;9;9
MCAR_25_stock_outcome;188;9;9;9;9;9;9;18;18;9;18;18;18;3;9;9;9;9;5;4;5;9;9;9;18;9;9;5;9;2;6;7;10;7;3;5;5
MCAR_50_stock_outcome;189;9;9;9;9;9;9;18;18;18;18;18;18;4;18;9;18;9;7;4;9;9;9;9;4;8;4;8;8;4;8;12;4;12;6;4;4
MCAR_25_page-blocks_outcome;190;10;10;10;10;10;10;20;20;14;20;20;20;10;10;10;20;10;9;4;10;10;10;10;9;1;10;10;1;1;9;2;11;2;1;9;9
MCAR_50_page-blocks_outcome;191;10;10;10;10;10;10;20;20;20;20;20;20;10;20;10;20;9;7;4;4;10;10;10;20;2;9;9;2;0;8;3;7;3;1;14;13
